[LLEGADA]Llega Cliente 1, tipo: PADRES MEDIANA EDAD, Dia 1, segund 17
[CAJA] El Cliente 13, tipo: PADRES MEDIANA EDAD compra MANZANA en la caja 1, Dia 1, segundo 1987
[CAJA] El Cliente 13, tipo: PADRES MEDIANA EDAD compra YOGURT en la caja 1, Dia 1, segundo 1993
[CAJA] El Cliente 13, tipo: PADRES MEDIANA EDAD compra GALLETAS en la caja 1, Dia 1, segundo 1999
[CAJA] El Cliente 15, tipo: PADRES MEDIANA EDAD compra CLORO en la caja 2, Dia 1, segundo 2000
[SALIDA] El Cliente 15, tipo: PADRES MEDIANA EDAD abandona la Caja 2 habiendo pagado 35, Dia 1, segundos 2000
[CAJA] El Cliente 13, tipo: PADRES MEDIANA EDAD compra TOSTADORA en la caja 1, Dia 1, segundo 2002
[LLEGADA]Llega Cliente 19, tipo: PADRES MEDIANA EDAD, Dia 1, segund 2006
[CAJA] El Cliente 13, tipo: PADRES MEDIANA EDAD compra TOMATE en la caja 1, Dia 1, segundo 2014
[CAJA] El Cliente 13, tipo: PADRES MEDIANA EDAD compra CARNE en la caja 1, Dia 1, segundo 2020
[CAJA] El Cliente 13, tipo: PADRES MEDIANA EDAD compra TALLARINES en la caja 1, Dia 1, segundo 2026
[CAJA] El Cliente 13, tipo: PADRES MEDIANA EDAD compra QUESO en la caja 1, Dia 1, segundo 2041
[CAJA] El Cliente 13, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 1, Dia 1, segundo 2047
[SALIDA] El Cliente 13, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 99, Dia 1, segundos 2047
[CAJA] El Cliente 17, tipo: PADRES JOVENES entra a la cola de la caja 1. Productos: {'LECHE': 2, 'LECHUGA': 1, 'MANZANA': 4, 'TOMATE': 1}, Dia 1, segundo2090
[CAJA] El Cliente 17, tipo: PADRES JOVENES compra LECHE en la caja 1, Dia 1, segundo 2115
[CAJA] El Cliente 17, tipo: PADRES JOVENES compra LECHUGA en la caja 1, Dia 1, segundo 2118
[CAJA] El Cliente 17, tipo: PADRES JOVENES compra MANZANA en la caja 1, Dia 1, segundo 2130
[CAJA] El Cliente 17, tipo: PADRES JOVENES compra TOMATE en la caja 1, Dia 1, segundo 2133
[SALIDA] El Cliente 17, tipo: PADRES JOVENES abandona la Caja 1 habiendo pagado 18, Dia 1, segundos 2133
[LLEGADA]Llega Cliente 20, tipo: TERCERA EDAD, Dia 1, segund 2145
[CAJA] El Cliente 18, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'SAL': 2, 'HARINA': 2, 'QUESO': 2, 'GALLETAS': 3, 'LECHUGA': 2, 'MANZANA': 3}, Dia 1, segundo2245
[CAJA] El Cliente 20, tipo: TERCERA EDAD entra a la cola de la caja 2. Productos: {'SAL': 2, 'CONSERVAS': 1, 'QUESO': 1, 'ARROZ': 3}, Dia 1, segundo2282
[CAJA] El Cliente 19, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'SAL': 1, 'PAPAS FRITAS': 1, 'ARROZ': 2, 'CARNE': 2, 'PANTALON': 1, 'CLORO': 7, 'TALLARINES': 3, 'BOMBONES': 1}, Dia 1, segundo2304
[CAJA] El Cliente 18, tipo: PADRES MEDIANA EDAD compra SAL en la caja 1, Dia 1, segundo 2332
[CAJA] El Cliente 16, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 2. Productos: {'TOALLA NOVA': 5, 'QUESO': 4, 'PAN': 13, 'TOMATE': 5, 'CARNE': 1, 'LECHUGA': 2, 'MANZANA': 5}, Dia 1, segundo2333
[CAJA] El Cliente 18, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 1, Dia 1, segundo 2338
[CAJA] El Cliente 18, tipo: PADRES MEDIANA EDAD compra QUESO en la caja 1, Dia 1, segundo 2344
[CAJA] El Cliente 20, tipo: TERCERA EDAD compra SAL en la caja 2, Dia 1, segundo 2351
[CAJA] El Cliente 18, tipo: PADRES MEDIANA EDAD compra GALLETAS en la caja 1, Dia 1, segundo 2353
[CAJA] El Cliente 20, tipo: TERCERA EDAD compra CONSERVAS en la caja 2, Dia 1, segundo 2354
[CAJA] El Cliente 20, tipo: TERCERA EDAD compra QUESO en la caja 2, Dia 1, segundo 2357
[CAJA] El Cliente 18, tipo: PADRES MEDIANA EDAD compra LECHUGA en la caja 1, Dia 1, segundo 2359
[CAJA] El Cliente 20, tipo: TERCERA EDAD compra ARROZ en la caja 2, Dia 1, segundo 2366
[SALIDA] El Cliente 20, tipo: TERCERA EDAD abandona la Caja 2 habiendo pagado 28, Dia 1, segundos 2366
[CAJA] El Cliente 18, tipo: PADRES MEDIANA EDAD compra MANZANA en la caja 1, Dia 1, segundo 2368
[SALIDA] El Cliente 18, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 47, Dia 1, segundos 2368
[LLEGADA]Llega Cliente 21, tipo: PADRES MEDIANA EDAD, Dia 1, segund 2399
[CAJA] El Cliente 19, tipo: PADRES MEDIANA EDAD compra SAL en la caja 1, Dia 1, segundo 2401
[LLEGADA]Llega Cliente 22, tipo: PADRES JOVENES, Dia 1, segund 2403
[CAJA] El Cliente 19, tipo: PADRES MEDIANA EDAD compra PAPAS FRITAS en la caja 1, Dia 1, segundo 2404
[CAJA] El Cliente 19, tipo: PADRES MEDIANA EDAD compra ARROZ en la caja 1, Dia 1, segundo 2410
[CAJA] El Cliente 19, tipo: PADRES MEDIANA EDAD compra CARNE en la caja 1, Dia 1, segundo 2416
[CAJA] El Cliente 19, tipo: PADRES MEDIANA EDAD compra PANTALON en la caja 1, Dia 1, segundo 2419
[CAJA] El Cliente 19, tipo: PADRES MEDIANA EDAD compra CLORO en la caja 1, Dia 1, segundo 2440
[CAJA] El Cliente 19, tipo: PADRES MEDIANA EDAD compra TALLARINES en la caja 1, Dia 1, segundo 2449
[CAJA] El Cliente 19, tipo: PADRES MEDIANA EDAD compra BOMBONES en la caja 1, Dia 1, segundo 2452
[SALIDA] El Cliente 19, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 90, Dia 1, segundos 2452
[CAJA] El Cliente 16, tipo: PADRES MEDIANA EDAD compra TOALLA NOVA en la caja 2, Dia 1, segundo 2459
[CAJA] El Cliente 16, tipo: PADRES MEDIANA EDAD compra QUESO en la caja 2, Dia 1, segundo 2471
[CAJA] El Cliente 16, tipo: PADRES MEDIANA EDAD compra PAN en la caja 2, Dia 1, segundo 2510
[CAJA] El Cliente 16, tipo: PADRES MEDIANA EDAD compra TOMATE en la caja 2, Dia 1, segundo 2525
[CAJA] El Cliente 16, tipo: PADRES MEDIANA EDAD compra CARNE en la caja 2, Dia 1, segundo 2528
[CAJA] El Cliente 16, tipo: PADRES MEDIANA EDAD compra LECHUGA en la caja 2, Dia 1, segundo 2534
[CAJA] El Cliente 16, tipo: PADRES MEDIANA EDAD compra MANZANA en la caja 2, Dia 1, segundo 2549
[SALIDA] El Cliente 16, tipo: PADRES MEDIANA EDAD abandona la Caja 2 habiendo pagado 76, Dia 1, segundos 2549
[CAJA] El Cliente 22, tipo: PADRES JOVENES entra a la cola de la caja 1. Productos: {'JUGO': 1, 'LECHE': 3, 'POLERA': 1, 'QUESO': 3, 'AGUA MINERAL': 1}, Dia 1, segundo2605
[CAJA] El Cliente 22, tipo: PADRES JOVENES compra JUGO en la caja 1, Dia 1, segundo 2667
[LLEGADA]Llega Cliente 23, tipo: PADRES MEDIANA EDAD, Dia 1, segund 2669
[CAJA] El Cliente 22, tipo: PADRES JOVENES compra LECHE en la caja 1, Dia 1, segundo 2676
[CAJA] El Cliente 22, tipo: PADRES JOVENES compra POLERA en la caja 1, Dia 1, segundo 2679
[CAJA] El Cliente 22, tipo: PADRES JOVENES compra QUESO en la caja 1, Dia 1, segundo 2688
[CAJA] El Cliente 22, tipo: PADRES JOVENES compra AGUA MINERAL en la caja 1, Dia 1, segundo 2691
[SALIDA] El Cliente 22, tipo: PADRES JOVENES abandona la Caja 1 habiendo pagado 34, Dia 1, segundos 2691
[LLEGADA]Llega Cliente 24, tipo: RAPIDOS, Dia 1, segund 2763
[CAJA] El Cliente 21, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'SAL': 2, 'HARINA': 1, 'TOALLA NOVA': 1, 'LECHUGA': 1, 'JUGO': 1, 'TOMATE': 3, 'CARNE': 3, 'PASTA DE DIENTES': 2, 'TALLARINES': 1, 'MANZANA': 5, 'PAN': 16}, Dia 1, segundo2827
[CAJA] El Cliente 24, tipo: RAPIDOS entra a la cola de la caja 2. Productos: {'MANZANA': 5}, Dia 1, segundo2862
[CAJA] El Cliente 24, tipo: RAPIDOS compra MANZANA en la caja 2, Dia 1, segundo 2884
[SALIDA] El Cliente 24, tipo: RAPIDOS abandona la Caja 2 habiendo pagado 10, Dia 1, segundos 2884
[CAJA] El Cliente 21, tipo: PADRES MEDIANA EDAD compra SAL en la caja 1, Dia 1, segundo 2918
[CAJA] El Cliente 21, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 1, Dia 1, segundo 2921
[CAJA] El Cliente 21, tipo: PADRES MEDIANA EDAD compra TOALLA NOVA en la caja 1, Dia 1, segundo 2924
[CAJA] El Cliente 21, tipo: PADRES MEDIANA EDAD compra LECHUGA en la caja 1, Dia 1, segundo 2927
[CAJA] El Cliente 21, tipo: PADRES MEDIANA EDAD compra JUGO en la caja 1, Dia 1, segundo 2930
[CAJA] El Cliente 23, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'SAL': 2, 'TOALLA NOVA': 1, 'AGUA MINERAL': 1, 'GALLETAS': 3, 'JUGO': 2, 'MANZANA': 8, 'BOMBONES': 1}, Dia 1, segundo2935
[CAJA] El Cliente 21, tipo: PADRES MEDIANA EDAD compra TOMATE en la caja 1, Dia 1, segundo 2939
[CAJA] El Cliente 21, tipo: PADRES MEDIANA EDAD compra CARNE en la caja 1, Dia 1, segundo 2948
[CAJA] El Cliente 21, tipo: PADRES MEDIANA EDAD compra PASTA DE DIENTES en la caja 1, Dia 1, segundo 2954
[CAJA] El Cliente 21, tipo: PADRES MEDIANA EDAD compra TALLARINES en la caja 1, Dia 1, segundo 2957
[CAJA] El Cliente 21, tipo: PADRES MEDIANA EDAD compra MANZANA en la caja 1, Dia 1, segundo 2972
[CAJA] El Cliente 21, tipo: PADRES MEDIANA EDAD compra PAN en la caja 1, Dia 1, segundo 3020
[SALIDA] El Cliente 21, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 68, Dia 1, segundos 3020
[CAJA] El Cliente 23, tipo: PADRES MEDIANA EDAD compra SAL en la caja 1, Dia 1, segundo 3027
[CAJA] El Cliente 23, tipo: PADRES MEDIANA EDAD compra TOALLA NOVA en la caja 1, Dia 1, segundo 3030
[CAJA] El Cliente 23, tipo: PADRES MEDIANA EDAD compra AGUA MINERAL en la caja 1, Dia 1, segundo 3033
[CAJA] El Cliente 23, tipo: PADRES MEDIANA EDAD compra GALLETAS en la caja 1, Dia 1, segundo 3042
[CAJA] El Cliente 23, tipo: PADRES MEDIANA EDAD compra JUGO en la caja 1, Dia 1, segundo 3048
[CAJA] El Cliente 23, tipo: PADRES MEDIANA EDAD compra MANZANA en la caja 1, Dia 1, segundo 3072
[CAJA] El Cliente 23, tipo: PADRES MEDIANA EDAD compra BOMBONES en la caja 1, Dia 1, segundo 3075
[SALIDA] El Cliente 23, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 61, Dia 1, segundos 3075
[LLEGADA]Llega Cliente 25, tipo: PADRES JOVENES, Dia 1, segund 3119
[CAJA] El Cliente 25, tipo: PADRES JOVENES entra a la cola de la caja 1. Productos: {'YOGURT': 2}, Dia 1, segundo3209
[CAJA] El Cliente 25, tipo: PADRES JOVENES compra YOGURT en la caja 1, Dia 1, segundo 3277
[SALIDA] El Cliente 25, tipo: PADRES JOVENES abandona la Caja 1 habiendo pagado 6, Dia 1, segundos 3277
[LLEGADA]Llega Cliente 26, tipo: JOVENES QUE VIVE CON PADRES, Dia 1, segund 3292
[CAJA] El Cliente 26, tipo: JOVENES QUE VIVE CON PADRES entra a la cola de la caja 1. Productos: {'GALLETAS': 3}, Dia 1, segundo3342
[CAJA] El Cliente 26, tipo: JOVENES QUE VIVE CON PADRES compra GALLETAS en la caja 1, Dia 1, segundo 3409
[SALIDA] El Cliente 26, tipo: JOVENES QUE VIVE CON PADRES abandona la Caja 1 habiendo pagado 15, Dia 1, segundos 3409
[LLEGADA]Llega Cliente 27, tipo: PADRES MEDIANA EDAD, Dia 1, segund 3565
[CAJA] El Cliente 27, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'LECHE': 6, 'HARINA': 1, 'YOGURT': 1, 'ARROZ': 1, 'PAN': 5, 'CARNE': 2, 'CLORO': 8}, Dia 1, segundo3879
[CAJA] El Cliente 27, tipo: PADRES MEDIANA EDAD compra LECHE en la caja 1, Dia 1, segundo 3956
[CAJA] El Cliente 27, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 1, Dia 1, segundo 3959
[CAJA] El Cliente 27, tipo: PADRES MEDIANA EDAD compra YOGURT en la caja 1, Dia 1, segundo 3962
[CAJA] El Cliente 27, tipo: PADRES MEDIANA EDAD compra ARROZ en la caja 1, Dia 1, segundo 3965
[CAJA] El Cliente 27, tipo: PADRES MEDIANA EDAD compra PAN en la caja 1, Dia 1, segundo 3980
[CAJA] El Cliente 27, tipo: PADRES MEDIANA EDAD compra CARNE en la caja 1, Dia 1, segundo 3986
[CAJA] El Cliente 27, tipo: PADRES MEDIANA EDAD compra CLORO en la caja 1, Dia 1, segundo 4010
[SALIDA] El Cliente 27, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 59, Dia 1, segundos 4010
[LLEGADA]Llega Cliente 28, tipo: RAPIDOS, Dia 1, segund 4019
[CAJA] El Cliente 28, tipo: RAPIDOS entra a la cola de la caja 1. Productos: {'HARINA': 1, 'CONSERVAS': 1, 'PAN': 1}, Dia 1, segundo4084
[CAJA] El Cliente 28, tipo: RAPIDOS compra HARINA en la caja 1, Dia 1, segundo 4132
[CAJA] El Cliente 28, tipo: RAPIDOS compra CONSERVAS en la caja 1, Dia 1, segundo 4135
[CAJA] El Cliente 28, tipo: RAPIDOS compra PAN en la caja 1, Dia 1, segundo 4138
[SALIDA] El Cliente 28, tipo: RAPIDOS abandona la Caja 1 habiendo pagado 13, Dia 1, segundos 4138
[LLEGADA]Llega Cliente 29, tipo: PADRES MEDIANA EDAD, Dia 1, segund 4189
[LLEGADA]Llega Cliente 30, tipo: PADRES JOVENES, Dia 1, segund 4349
[LLEGADA]Llega Cliente 31, tipo: JOVENES QUE VIVE CON PADRES, Dia 1, segund 4500
[LLEGADA]Llega Cliente 32, tipo: PADRES MEDIANA EDAD, Dia 1, segund 4547
[CAJA] El Cliente 31, tipo: JOVENES QUE VIVE CON PADRES entra a la cola de la caja 1. Productos: {'BEBIDA': 2}, Dia 1, segundo4604
[LLEGADA]Llega Cliente 33, tipo: PADRES MEDIANA EDAD, Dia 1, segund 4606
[CAJA] El Cliente 31, tipo: JOVENES QUE VIVE CON PADRES compra BEBIDA en la caja 1, Dia 1, segundo 4633
[SALIDA] El Cliente 31, tipo: JOVENES QUE VIVE CON PADRES abandona la Caja 1 habiendo pagado 2, Dia 1, segundos 4633
[CAJA] El Cliente 29, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'SAL': 2, 'TOALLA NOVA': 2, 'BEBIDA': 1, 'PAN': 17, 'CARNE': 1, 'TALLARINES': 5, 'MANZANA': 6, 'CLORO': 7}, Dia 1, segundo4686
[CAJA] El Cliente 29, tipo: PADRES MEDIANA EDAD compra SAL en la caja 1, Dia 1, segundo 4702
